id,source_date,animal_id,type,source_name,name_at_intake,ispreviouslyspayedneutered,sex,primary_breed,primary_color,secondary_color,intake_health_condition,date_of_birth,found_address,timestamp
28646,2026-05-29T10:48:00.000,26868,Kitten,ACO - Impound,Tuck,False,Female,Domestic Shorthair,Grey,Grey,Sick,2026-03-29T00:00:00.000,"AUSTIN, TX, 78752, United States",2026-05-29T11:00:09.000
28644,2026-05-29T09:50:00.000,26866,Kitten,ACO - Impound,,False,Unknown,Domestic Shorthair,Black,,,,"Provines Drive, AUSTIN, TX, 78753, United States",2026-05-29T10:00:10.000
28642,2026-05-29T08:37:00.000,26864,Dog,ACO - Impound,,False,Male,Black Mouth Cur,Black,Tan,,,"4510 W Village Court, AUSTIN, TX, 78744, United States",2026-05-29T09:00:07.000
28640,2026-05-29T04:22:00.000,24023,Puppy,ACO - Impound,Alli,False,Female,American Bulldog,Brown Brindle,White,Normal,2026-01-12T00:00:00.000,"AUSTIN, TX, 78702, United States",2026-05-29T05:00:07.000
28639,2026-05-29T04:21:00.000,24024,Dog,ACO - Impound,Sasha,False,Female,American Bulldog,Brown Brindle,White,Normal,2024-04-09T00:00:00.000,"AUSTIN, TX, 78702, United States",2026-05-29T05:00:07.000
28638,2026-05-28T20:23:00.000,26862,Dog,ACO - Impound,,False,Male,Mastiff,Brown,White,,,"1020 Grove Boulevard, AUSTIN, TX, 78741, United States",2026-05-28T21:00:20.000
28635,2026-05-28T19:22:00.000,26859,Cat,ACO - Impound,,False,Unknown,Domestic Shorthair,White,,,,,2026-05-28T20:00:10.000
28634,2026-05-28T19:22:00.000,26858,Cat,ACO - Impound,,False,Unknown,Domestic Shorthair,White,,,,"7920 San Felipe Boulevard, AUSTIN, TX, 78729, United States",2026-05-28T20:00:10.000
28633,2026-05-28T18:15:00.000,26857,Dog,Stray,,False,Female,American Pit Bull Terrier,Cream,White,Injured,,"1515 Grove Boulevard, AUSTIN, TX, 78741, United States",2026-05-28T19:00:11.000
28629,2026-05-28T17:52:00.000,26853,Dog,Agency,,False,Unknown,German Shepherd,Brown,,,,"6725 Circle South Road, AUSTIN, TX, 78745, United States",2026-05-28T18:00:09.000
28628,2026-05-28T17:21:00.000,7604,Dog,Returns,Coco,False,Male,German Shepherd,Black,,,2025-03-20T00:00:00.000,"AUSTIN, TX, 78719, United States",2026-05-28T18:00:09.000
